word_freq_remove,word_freq_free,word_freq_your,word_freq_000,word_freq_money,word_freq_hp,word_freq_george,char_freq_!,char_freq_$,capital_run_length_average,class
0,0,0.61,0.3,0.61,0,0,0.207,0.207,2.132,1
0,2.94,0,0,0,0,0,0.671,0,4,1
0,2.94,0,0,0,0,0,0.711,0,4,1
0.18,0,0.92,0,0,0,0,0.426,0,1.283,1
0.26,0.26,0.26,0,0,0,0,0.813,0.036,2.145,1
0,0,1.51,0,0.3,0,0,1.318,0.068,5.301,1
0.06,0,1.09,0.84,0.06,0,0,0.01,0.167,1.733,1
0,4.97,1.99,0.49,0,0,0,0.17,0,1.468,1
0.05,0.25,1.46,1.05,0.36,0,0,0.325,0.756,5.891,1
0.06,0.26,0.66,0.19,0.26,0,0,0.278,0.23,3.887,1
0,0,3.84,0,0,0,0,0,0,2.75,1
0.73,1.09,2.19,1.83,0,0,0,0.498,0.332,3.254,1
0.38,0,0.7,0.19,0,0,0,0.244,0.071,1.732,1
0,0,1.26,0,1.26,0,0,0.198,0.596,3.833,1
0.73,1.1,2.2,1.83,0,0,0,0.5,0.333,3.259,1
0,1.08,2.17,0,0,0,0,1.478,0,2,1
1.04,0,2.09,0,0,0,0,0.615,0.061,3.318,1
0,0,5.06,0,0,0,0,0,0,3.642,1
0,0.45,1.36,0,0,0,0,1.501,0,2.777,1
0,0.42,1.68,0,0,0,0,0.669,0,3.837,1
0.59,0,0,0,0,0,0,0,0,8.586,1
0,0.23,1.89,0,0.23,0,0,0.175,0,1.294,1
0.93,1.39,0.46,0,0,0,0,0,0,1.442,1
0.68,0.34,2.73,0,0,0.34,0,0.048,0.048,1.411,1
0,0,3.01,0.12,0,0,0,0.019,0.019,1.714,1
0,1.98,1.32,0,0,0,0,2.205,0,3.184,1
0.48,0.48,1.95,0,0.48,0,0,0.589,0.294,4.85,1
1.47,0,1.47,0,0,0,0,0.5,0,1.214,1
0,2.15,1.23,0,0.3,0,0,1.053,0.351,3.884,1
0,0,0,1.96,0,0,0,0,0.1,4.548,1
2.53,0,3.79,0,0,0,0,0.537,0,72.5,1
0,0.53,1.06,0,0,0,0,0.877,0,3.4,1
0,0.44,1.34,0,0,0,0,0.807,0,3.849,1
0.46,0.92,1.38,0.46,0,0,0,0.298,0.223,2.156,1
0.48,0.48,2.41,0.48,0,0,0,0.486,0.243,5.13,1
0,2.83,0.94,1.88,0,0,0,1.366,0,26.5,1
0,0,1.18,0,0,0,0,0.165,0.082,2.325,1
0,0.37,1.26,0.44,0.75,0,0,0.437,0.234,3.675,1
0.2,0.83,0.62,0.62,0,0,0,0.132,0,1.65,1
0,0,0,0,0,0,0,0,0.338,1.666,1
0,0,1.11,0,0,0,0,1.431,0,4.071,1
0.23,0.23,1.9,0,0.47,0,0,0.197,0,5.038,1
0,2.91,0,0.72,0,0,0,0.495,0,1.525,1
0,1.28,1.28,1.28,0,0,0,0.724,0,3.071,1
0,0,0,0,0,0,0,0.834,0,5.13,1
0.46,1.86,1.4,0,0.46,0,0,0.571,0.214,4.63,1
0,0.38,2.3,0,0.38,0,0,0.061,0.061,1.775,1
0,0.79,1.58,0,0,0,0,0.268,0,2.815,1
0,0.2,1.21,0,0.06,0,0,0.096,0.085,3.353,1
0,0,0,0,0,0,0,0,0,3.8,1
1.12,0.56,1.68,0,0,0,0,1.083,0.333,4.974,1
0.05,0.26,1.5,1.05,0.34,0,0,0.322,0.764,6.1,1
0.03,0.22,1.53,0.59,0.63,0,0,0.613,0.532,7.3,1
0.03,0.22,1.53,0.59,0.63,0,0,0.612,0.531,7.3,1
0,0,2.31,1.38,0,0,0,0.082,0.823,3.4,1
0.46,0,0,0.46,0,0,0,0,0,2.676,1
0,1.05,1.4,0,0,0,0,1.284,0,3.639,1
0,0.43,0.86,0,0,0,0,0.736,0,2.81,1
0,0.6,0,0.6,0,0,0,0.31,0,4.897,1
0,0.41,1.24,0,0.41,0,0,0.461,0.527,3.166,1
0.7,2.83,1.41,0,0,0,0,0.38,0,1.153,1
0,0.64,0,0.64,0,0,0,0.662,0,10.068,1
0,0,0,0,0,0,0,1.529,0,5.5,1
0,0.64,0,0.64,0,0,0,0.662,0,10.068,1
0,0,0,0,0,0,0,1.529,0,5.5,1
0,0.64,0,0.64,0,0,0,0.662,0,10.068,1
0,0,0,0,0,0,0,1.529,0,5.5,1
0,0.79,0,0.79,0,0,0,0.462,0,5.793,1
0,0,0,0,0,0,0,1.529,0,5.5,1
1.96,0,1.96,0,0,0,0,0,0,6.166,1
2.46,2.46,0,0,0,0,0,1.907,0,1.285,1
0,0,0,0,0,0,0,0,0,2.913,1
0.76,0,0.76,0,0,0,0,0,0.177,3.836,1
0,0,0.95,0,0,0,0,0,0,1.238,1
0.12,0.25,1.38,1.13,0.12,0,0,0,0.119,4.155,1
0,0.51,1.53,0,0,0,0,0.542,0,1.972,1
0,0,0.75,0.15,0.2,0.05,0,0.054,0.118,2.37,1
0,0,0.75,0.15,0.2,0.05,0,0.054,0.118,2.379,1
2.56,0,5.12,0,0,0,0,0.542,0,102.666,1
1.11,0.55,1.67,0,0,0,0,1.158,0.331,4.875,1
0,0,0.75,0.15,0.2,0.05,0,0.054,0.118,2.37,1
0,0,0.75,0.15,0.2,0.05,0,0.054,0.118,2.379,1
0,0.23,1.34,0.5,0.5,0,0,0.335,1.281,7.202,1
0.16,0.16,0.64,0,0,0,0,0.271,0.024,5.709,1
0.3,0,0.61,0.61,0,0,0,0.092,0.322,2.074,1
0.33,0,3.69,0,0.33,0,0,1.194,0.054,5.567,1
0,0,3.03,0,0,0,0,0.089,0.178,3.416,1
0.59,0,1.19,0,0.59,0,0,0.427,0,10,1
0.4,0,2,0,0,0,0,0.706,0.212,1.838,1
0,0.41,2.48,0.82,0.41,0,0,0.97,0.149,32.142,1
0.38,0.38,1.52,0.38,0,0,0,0.598,0.179,4.523,1
0.4,0.4,2,0,0.4,0,0,0.121,0,1.979,1
0,0.56,1.12,0,0,0,0,0.606,0,2.36,1
0.16,0,0.47,0.64,0,0,0,0.299,0.174,1.891,1
0,0,0,2.53,0,0,0,0.215,0.431,4,1
0,0.98,0.78,0.19,0,0,0,0.16,0.16,2.128,1
0,0.98,0.78,0.19,0,0,0,0.16,0.16,2.128,1
0,0.66,0.33,1.66,0.33,0,0,0.12,0.541,5.428,1
0,2.98,1.49,0,0,1.49,0,0,0,1.1,1
0,0.82,0.82,0,0,0,0,0,0,1.769,1
0,0.66,0.33,1.66,0.33,0,0,0.12,0.541,5.428,1
1.58,0,0,0,0,0,0,0.558,0.279,3.272,1
0,0.23,1.34,0.5,0.5,0,0,0.335,1.281,7.202,1
1.58,0,0,0,0,0,0,0.558,0.279,3.272,1
0,2.77,1.38,0,0,0,0,0.715,0,1.181,1
0,0,0,2.53,0,0,0,0.215,0.431,4.277,1
0,0.66,0.33,1.66,0.33,0,0,0.12,0.541,5.428,1
0.14,0.14,0.43,0,0,0,0,0.865,0.023,5.133,1
0,0,1.09,0,0.72,0,0,0.063,0.126,2.562,1
0,0.81,2.44,0,0.27,0,0,0.565,0.121,1.617,1
0,0,1.17,0,1.56,0,0,0.261,0,1.461,1
1.12,0.56,1.69,0,0,0,0,1.32,0.33,5.135,1
0,0,1.35,0,0,0,0,0.2,0,1.064,1
0,0.62,0.62,0,0,0,0,1.055,0,2.033,1
0,0.33,0.67,0,0,0,0,0.484,0,1.796,1
0,4.76,2.38,0,0,0,0,0,0,2.375,1
1.31,0,3.94,0,0,0,0,0.117,0.117,48.5,1
0.45,0.45,0.9,0,0,0,0,0.135,0,5.571,1
0,0,0.85,0,0.42,0,0,1.088,0,5.714,1
0,0,0.27,0,0,0,0,0,0.185,7.313,1
0,0.43,0.43,0,0,0.21,0,0.146,0.146,6.233,1
0,0,2.31,1.38,0,0,0,0.081,0.816,3.4,1
0,0.87,1.31,0,0,0,0,0.265,0,3.121,1
0.34,0.68,1.03,0,0,0,0,0,0,3.131,1
0,0,2.31,1.38,0,0,0,0.081,0.816,3.4,1
0.62,0,1.86,0,0.62,0,0,0.517,0,3.363,1
1.05,0,0,0,0,0,0,0,0,4.5,1
0,0.35,1.06,0,0,0,0,0.7,0,3.768,1
0.15,0.15,0.76,0,0,0,0,0.567,0.024,5.425,1
0.57,0,1.15,0,0.57,0,0,0.518,0,10.117,1
0.26,0.79,1.05,0,0.52,0,0,0.31,0,5.549,1
0.08,0,3.17,0.34,0.08,0,0,0.095,0.013,4.07,1
0,0.5,1.5,0,0,0,0,0.892,0,2,1
0,0.54,0.54,0,0,0,0,1.443,0,1.969,1
0,0,0.78,0.78,0,0,0,0.889,0,2.13,1
0,0,1.02,1.02,0,0,0,0.968,0,2.179,1
0,0,0,0,0,0,0,0,0,1.1,1
0,0.44,1.79,0,0.44,0,0,0.944,0.145,2.451,1
0,0.33,1.32,0,0,0,0,0.583,0,4.024,1
0,0,1.02,1.02,0,0,0,0.969,0,2.179,1
0.08,0.08,0.77,0.34,0.34,0,0,0.258,0.258,5.297,1
0.08,0.08,0.78,0.34,0.34,0,0,0.259,0.259,3.335,1
0,0,0.87,0,0.43,0,0,0.835,0,5.114,1
0,0.44,1.78,0,0.44,0,0,1.083,0.144,2.428,1
0,0,0,0,0,0,0,0.118,0,1.307,1
0,0,0,0,0,0,0,1.754,0,1,1
0,0.05,0.53,0.23,0.23,0,0,0.032,0.14,1.364,1
3.12,3.12,0,0,0,0,0,0,0,9.428,1
0,1.59,1.59,0.53,0.53,0,0,0.28,0.186,2.823,1
0.93,0.46,1.4,0,0,0,0,0.135,0,4,1
1.12,2.25,2.82,0.56,0,0,0,0,0,1.416,1
0,0,5.29,0,1.32,0,0,0.83,0.069,3.215,1
0,1.61,2.41,0,0,0,0,1.192,0,1.463,1
0.14,0.14,0.58,0,0,0,0,0.585,0.046,5.02,1
0.08,0,3.17,0.34,0.08,0,0,0.095,0.013,4.07,1
0,0,0.81,0,0,0,0,0.294,0.147,2.333,1
1.08,0.54,1.08,1.62,0,0,0,1.18,0.252,5.323,1
0.08,0,3.17,0.34,0.08,0,0,0.108,0.013,4.07,1
1.07,0.53,1.07,1.61,0,0,0,1.183,0.253,5.454,1
0.51,2.07,1.03,0,0,0,0,0.067,0,2.676,1
1.09,0.54,1.64,0,0,0,0,1.045,0.321,5.047,1
0,0.38,1.15,0.38,0,0,0,0.985,0.184,3.923,1
0,0.39,1.17,0.39,0,0,0,0.869,0.186,4,1
0.86,0,4.76,0,1.29,0,0,0.915,0,3.891,1
0,0,0.68,1.6,0,0,0,0.187,0.112,3.184,1
0,0.56,1.12,0,0,0,0,0.615,0,2.403,1
0,0.55,0.55,0,0,0,0,0.893,0,2.122,1
0,0,4.6,0,1.31,0,0,0.816,0.068,3.173,1
0.61,0,1.23,0,0,0,0,0.353,0,2.25,1
0.44,0.44,3.33,0.44,0.44,0,0,0.563,0.15,86.65,1
0.08,0.08,0.94,0.34,0.34,0,0,0.287,0.223,3.314,1
1.04,2.08,2.08,0,0,0,0,0,0,3.812,1
1.33,0,5.33,0,0,0,0,0.202,1.417,29.125,1
1.08,0.54,1.08,1.62,0,0,0,1.182,0.253,5.454,1
0,0,0.62,0,0,0,0,0.08,0,2.111,1
0,0.9,2.72,0,0,0,0,0.165,0.165,6.266,1
0,0.05,0.02,0.37,0.02,0,0,0,0.022,1.423,1
0,0.05,0.02,0.37,0.02,0,0,0,0.022,1.423,1
0.53,0.62,1.16,0.89,0.08,0,0,0.212,0.185,6.815,1
0,0.96,0.48,0.96,0,0,0,0.468,0.267,3.315,1
0,0,2.31,1.38,0,0,0,0.081,0.816,3.4,1
0.68,0.68,1.37,0.34,0.34,0,0,0.366,0.061,1.895,1
0,0.72,0.72,0,0.54,0,0,0.633,0.063,9.043,1
0.39,1.57,1.57,0.13,0.39,0,0,0.779,0.021,2.689,1
0.32,0.32,3.25,0,0.32,0,0,0,0.157,1.537,1
0.32,0.32,3.24,0,0.32,0,0,0,0.159,1.537,1
0,0.59,3.14,0,0.19,0,0,0.258,0.032,3.112,1
0,0,0.69,1.61,0,0,0,0.188,0.112,3.105,1
0,0.71,0.71,0,0,0,0,1.094,0,2.021,1
2.98,1.49,2.98,0,0,0,0,0,0.171,13,1
0.16,0.5,0,0,0,0.33,0,0.884,0.752,5.328,1
0,0.55,1.1,0,0,0,0,0.683,0,2.338,1
0.16,0.16,0.98,0,0,0,0,0.773,0.08,6.586,1
0,0,0.36,0,0,0,0,0,0,1.543,1
1.69,10.16,2.54,0,0.84,0,0,1.113,0.278,173,1
0,0,0.64,0,0,0,0,0,0,1.103,1
0,0,0.64,0,0,0,0,0,0,1.103,1
0.08,0,3.14,0.34,0.08,0,0,0.088,0.013,4.16,1
2.18,0,1.09,0,0,0,0,0.471,0,15.08,1
0,0.85,0.85,0,0,0,0,0,0.082,7.17,1
0,1.05,2.1,0,0,0,0,1.806,0,1.293,1
0,0.22,1.12,0.22,0.22,0,0,0.129,0.193,7.258,1
2.23,0,1.11,0,0,0,0,0.479,0,16.739,1
0,0,0,1.12,0,0,0,0.814,0,2.6,1
0.32,0.32,3.26,0,0.32,0,0,0,0.158,1.494,1
0,0,3.59,0,0,0,0,0.937,0,11.888,1
2.23,0,1.11,0,0,0,0,0.479,0,16.739,1
1.07,2.15,2.15,0,0,0,0,0.145,0.437,1.823,1
0,0.95,0.47,0.95,0,0,0,0.461,0.263,3.493,1
0.15,1.11,0,0,0,0.95,0,0.862,0.707,5.423,1
0,0,0.39,0,0,3.58,0,0,0,2.5,1
0,0,1.53,0,0,0,0,2.766,0.829,5.607,1
0.08,0.48,0.73,0.08,0.16,0,0,0.39,0.097,5.594,1
0,1.11,1.04,0.06,0.69,0,0,0.75,0.305,3.401,1
0,1.11,0.97,0.06,0.69,0,0,0.75,0.305,3.401,1
0,4,0,0,0,0,0,2.453,0,4.153,1
0,0,3.57,0,0,0,0,0.931,0,12.055,1
0,0.8,2.4,0.8,0,0,0,1.62,0.347,2.604,1
0.33,0.33,3.3,0,0.33,0,0,0,0.162,2.195,1
0.07,0,1.85,0,0.14,0,0,0.159,0.159,3.456,1
0.33,0.33,3.3,0,0.33,0,0,0,0.161,2.195,1
0.15,1.11,0,0,0,0.95,0,0.862,0.707,5.423,1
0,0.31,0.93,0.31,0,0,0,0.043,0,1.741,1
0.17,0.17,0.86,0,0,0,0,0.665,0.083,6.294,1
0,0.79,1.58,0,0,0,0,0.271,0.135,3.257,1
0,0.14,0.88,0,0.44,0,0,0.204,0.127,2.962,1
0,0,3.33,0,0,0,0,0.784,0,5.687,1
0,0.25,1.5,0,0.25,0,0,0.203,0.203,2.866,1
1.16,0.58,2.92,0,0,0,0,0.09,0.09,1.829,1
0,0.14,0.88,0,0.44,0,0,0.204,0.127,2.962,1
0,0.14,0.88,0,0.44,0,0,0.204,0.127,2.962,1
0.58,0.58,0,0,0,0,0,0.829,0,2.529,1
0,0,1.01,0,0,0,0,0.041,0.124,3.181,1
3.12,0,0,0,0,0,0,0,0,9.428,1
2.28,0,1.14,0,0,0,0,0.487,0,16.217,1
0.17,0,0.7,0.35,0,0,0,0.085,0.057,3.564,1
0,0.95,0.47,0.95,0,0,0,0.401,0.267,3.459,1
2.28,0,1.14,0,0,0,0,0.487,0,16.217,1
0.17,0.17,0.51,0,0,0,0,0.315,0,6.364,1
2.28,0,1.14,0,0,0,0,0.487,0,16.217,1
3.27,1.63,1.63,0,0,0,0,0.54,0.18,14.818,1
0.14,0.87,0,0,0,0,0,0.764,0.784,4.979,1
0.19,0.19,0.95,0,0,0,0,0.632,0.03,6.789,1
0.2,0.4,2.62,0.2,0.6,0,0,1.453,0.129,3.946,1
0,0,2.75,0,0,0,0,0.531,0,2.9,1
0.15,0.92,0,0,0,0,0,0.732,0.753,5.058,1
0,0.52,0,0,0,0,0,0.867,0,2.22,1
0,0.42,1.28,0,0,0,0,1.117,0,1.206,1
0.06,0,1.15,0.84,0.06,0,0,0.01,0.167,1.733,1
0.2,0.1,2.92,0,0.2,0.1,0,0.785,0.065,4.064,1
5.4,5.4,0.9,0,0,0,0,0.841,0.21,24.785,1
0.17,0,4.12,0,0.35,0,0,1.158,0.057,5.163,1
0.08,0.51,0.77,0.08,0.17,0,0,0.348,0.103,5.392,1
0.23,0,1.84,0,0.23,0,0,0.841,0.036,1.862,1
0,0,0.06,0,0,0,0,0,0.032,1.206,1
0,1.05,1.05,1.58,0.52,0,0,0.702,0.263,6.487,1
0.32,0.32,3.24,0,0.32,0,0,0,0.157,1.494,1
0,0.54,5.97,0.54,0,0,0,0.715,0.318,2.345,1
0,1.63,3.27,0,0,0,0,0.759,0.253,2,1
0,0,0.94,0,0.18,0,0.18,0.242,0.107,2.623,1
0.35,0.7,2.82,0,0,0,0,0.411,0,2.917,1
2.41,0,2.06,0,0,0,0,0,0,1.888,1
0,0,0.94,0,0.18,0,0.18,0.295,0.107,2.542,1
0.64,0.64,3.2,0.64,0,0,0,0.551,0.459,2.333,1
0.32,0.32,3.26,0,0.32,0,0,0,0.159,1.494,1
0.64,0.64,2.56,0.64,0,0,0,0.554,0.369,2.333,1
0,0.18,0,0.18,0,0,0,0.07,0.07,2.616,1
0,0,2.75,0,0,0,0,0.532,0,2.9,1
0,0,1.81,0,0,0,0,0.309,0,1.333,1
0.43,0.43,0.86,0,0,0,0,0.129,0,5.8,1
0,0.43,1.3,0,0,0,0,1.133,0,1.2,1
0,0.34,1.03,0,0,0,0,0.718,0,3.718,1
0.16,1.64,0,0,0,0,0,0.906,0.663,5.289,1
0.06,0,1.09,0.85,0.06,0,0,0.01,0.167,1.74,1
0.11,0.46,0.58,0.11,0,0,0,0.322,0.094,2.576,1
0,0,0,0,0,0,0,1.284,0,1.357,1
0.91,0,0,0,0,0,0,0.672,0.269,4.35,1
0,0,5.26,0,1.31,0,0,0,0.199,4.818,1
0,0,0.93,0,0.18,0,0.18,0.268,0.107,2.698,1
0,0,0.94,0,0.18,0,0.18,0.241,0.107,2.623,1
0.32,0.32,3.25,0,0.32,0,0,0,0.157,1.494,1
0,0,0,0,0,0,0,0.511,0,4.617,1
0,0.31,1.24,0,0,0,0,1.152,0,4.592,1
0,0,0,0,0,0,0,0,0,1.266,1
0,0,0,0,0,0,0,0.511,0,4.617,1
0,0,0,0,0,0,0,0,0,1.266,1
0.17,1.74,0.17,0,0,0.17,0,0.754,0.681,4.74,1
1,0,4,1,1,0,0,0.275,0.137,2.538,1
0,1.05,2.1,0,0,0,0,0.351,0.175,3.343,1
0.16,2.13,0,0,0,0.49,0,0.693,0.67,4.835,1
0,0,0,0,0,0,0,1.434,0,7.055,1
0,0,5.26,0,1.31,0,0,0,0.201,4.5,1
0,1.28,3.84,0,0,0,0,0.23,0.23,5.538,1
0.94,0,0.47,0,0,0,0,0.217,0,1.48,1
0,0,0.25,0.25,0.76,0,0,0.209,0.209,2.776,1
0,0.36,1.46,0.36,0,0,0,0.604,0.181,3.787,1
0,1.29,2.58,0.64,0,0,0,0.462,0.37,2.44,1
0,0.43,0.43,0,0,0,0,0.31,0.062,1.477,1
0,1.28,3.84,0,0,0,0,0.23,0.23,5.538,1
0.6,0,0,0,0,0,0,0,0,1.583,1
0.32,0.32,3.25,0,0.32,0,0,0,0.159,1.494,1
0,0,5.19,0,1.29,0,0,0,0.198,4.23,1
0,1.28,3.84,0,0,0,0,0.23,0.23,5.538,1
0.63,0.63,2.54,0.63,0,0,0,0.501,0.3,2.458,1
0,1.3,2.61,0.65,0,0,0,0.834,0.463,2.44,1
0,0,0.58,0,0,0.19,0,0,1.121,1021.5,1
0,0.43,0.43,0,0,0,0,0.31,0.062,1.477,1
0,0.08,0.23,0,0,0,0,0.406,0.038,2.811,1
0,1.29,2.58,0.64,0,0,0,0.462,0.37,2.44,1
0,0.43,0.43,0,0,0,0,0.31,0.062,1.477,1
0,0.36,1.46,0.36,0,0,0,0.604,0.181,3.787,1
0,0,0,0,0,2.06,0,0,0,2.217,1
0,1.28,3.84,0,0,0,0,0.23,0.23,5.538,1
0.32,0.32,3.25,0,0.32,0,0,0,0.158,1.494,1
0.06,0,1.09,0.85,0.06,0,0,0.01,0.167,1.736,1
0,0,5.26,0,1.31,0,0,0,0.201,4.5,1
0.45,0,0.45,0.45,0,0,0,0.063,0.127,4.735,1
1.16,4.65,0,0,0,0,0,0,0,1,1
1.25,6.25,0,0,0,0,0,0,0,1,1
0,0.05,0.17,0,0,0.02,0,0.107,0.017,3.922,1
0,0,0,0,0,0,0,5,0,1,1
0,0.48,1.94,0,0,0,0,2.443,0,1.227,1
0,0.23,1.19,0,0,0,0,1.018,0.036,4.022,1
0.32,0.32,3.25,0,0.32,0,0,0,0.158,1.494,1
0,0,0,0,0,0,0,0,0,1,1
0,0.23,1.19,0,0,0,0,1.018,0.036,4.022,1
1,0,2,0,0,0,0,0.11,0,3.178,1
0.05,0.76,1.3,0.23,0.05,0,0,0.102,0.259,1.493,1
0.32,0.32,3.24,0,0.32,0,0,0,0.157,1.494,1
0,0,0.67,0,0,0,0,0.332,0.11,2.315,1
0,0.05,0.17,0,0,0.02,0,0.107,0.017,3.922,1
0,0,0,0,0,0,0,0.802,0.114,2.527,1
0,0.2,0.2,0,0.4,0,0,0.831,0.338,1102.5,1
0,0.61,0,0,0,0,0,0.517,0.103,2.966,1
1.48,0.74,3.7,0,0,0,0,0.108,0,2.346,1
0,0,0,0,0,0,0,0.153,0,3.317,1
0,0.23,1.36,0.46,0.46,0,0,0.319,0.479,6.11,1
0.35,0.7,1.77,0,0,0,0,0.397,0,3.388,1
0,2.43,1.21,0,0,0,0,0,0,1,1
0,0,5.26,0,1.31,0,0,0,0.199,4.818,1
0,0.6,1.8,0.72,0.96,0,0,0.101,0.202,3.548,1
0,0,0.89,0.44,0,0,0,0,0,1.541,1
0.25,0.25,0.42,0.85,0.08,0,0,0.42,0.114,7.497,1
0,0.46,0.93,0,0,0,0,0.663,0,1.428,1
0.14,0.86,0,0,0,0,0,0.826,0.745,5.456,1
0,0,1.1,0.85,0.06,0,0,0.01,0.169,1.748,1
0,0,1.1,0.85,0.06,0,0,0.01,0.169,1.775,1
0,0.38,1.26,0.44,0.76,0,0,0.429,0.236,3.664,1
0.08,0.53,0.89,0.08,0.17,0,0,0.369,0.109,4.911,1
0,0.08,0.42,1.1,0.08,0,0,0.356,0.101,11.32,1
0.48,0,0.96,0,0,0,0,0.163,0,1.696,1
0,0,0,0,0,0,0,0,0,3.8,1
0,0,2.97,1.78,0,0,0,0.105,0.42,3.428,1
0.6,0,1.21,0,0.6,0,0,0.101,0.304,3.217,1
0,0.38,1.26,0.44,0.76,0,0,0.428,0.235,3.702,1
0,0,0,0,0,0,0,0.163,0.326,3.545,1
0.33,1.65,0.66,0,0,0,0,0.537,0,2.517,1
0.67,0,1.35,0,0.67,0,0,0.286,0,5.558,1
0,0,1.28,0.46,0.46,0,0,0.23,0.134,4.281,1
0,0.31,0.62,0,0,0,0,0,0,2.09,1
0.96,0,2.88,0,0,0,0,0.616,0,1.181,1
0.7,0.7,1.4,0.35,0.35,0,0,0.367,0.061,1.88,1
0,0.55,1.1,0,0,0,0,0.524,0,1.229,1
0,0,1.75,0,0,0,0,0,0,1.361,1
0,0,3.57,0,0,0,0,0.52,0,3.5,1
0.08,0.53,0.89,0.08,0.17,0,0,0.369,0.109,4.896,1
0,1.74,3.48,0,0.58,0,0,0.165,0.082,2.17,1
0,0.37,0.4,0,0,0,0,0.034,0.019,4.93,1
0,0,0,0,0,0,0,2.636,0.683,3.168,1
0.25,0.25,0.51,0,0,0,0,0.354,0,2.593,1
0.25,0.25,0.42,0.85,0.08,0,0,0.394,0.114,7.484,1
0.12,0.12,0.6,0,0,0,0,0.34,0,5.634,1
0,0.43,1.31,0.43,0,0,0,0.577,0.216,6.274,1
0,0,1.02,0,0.44,0,0,0.153,0.153,2.705,1
0.14,0,2.02,0.14,0,0,0,0.269,0.08,15.086,1
0.62,0.62,2.51,0.62,0,0,0,0.456,0.273,2.52,1
0.33,0,3.87,0,0.33,0,0,1.118,0.054,4.928,1
0.14,0,2,0.14,0,0,0,0.241,0.072,6.238,1
0,0,2.11,0.15,0,0,0,0.255,0.076,6.3,1
0,0.21,1.35,0.51,0.54,0,0,0.443,0.51,6.59,1
0,0.68,1.36,0,0,0,0,1.143,0.519,3.737,1
0,0.55,1.1,0,0.22,0,0,0.367,0.193,2.559,1
0.49,0.49,2.97,0,0,0,0,0.497,0.165,5.113,1
0,0.94,0,0,0,0,0,3.571,0,1.3,1
0.02,0.16,1.46,1.03,0.51,0,0,0.382,0.847,5.783,1
0,0.55,1.1,0,0.22,0,0,0.367,0.193,2.559,1
1.56,1.56,0,0,0,0,0,0.7,0,2.125,1
2.22,3.33,2.22,0,0,0,0,0.146,0,2.058,1
0.86,2.16,1.73,0,0,0,0,0.801,0,4.77,1
0,1.36,4.56,0,0,0,0,0,0,2.032,1
0.5,0,1.52,0.76,0,0,0,0.412,0.412,2.441,1
0,1.44,0,0,0,0,0,0.277,0,1.312,1
0.5,0,1.52,0.76,0,0,0,0.412,0.412,2.441,1
0,0.35,1.07,0,0,0,0,1.257,0,3.895,1
0,0,5.88,0,0,0,0,0,0,1.5,1
0,0.6,1.8,0.72,0.96,0,0,0.101,0.222,3.577,1
